Nation,Country,IOC,1908,1912,1920,1924,1928,1932,1936,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020
Netherlands Antilles (AHO),Netherlands Antilles ,AHO,,,,,,,,,,,,,,,,,,1,2,2,1,,,,,
Algeria (ALG),Algeria ,ALG,,,,,,,,,,,,,,,,,,,,,,,,,3,2
Andorra (AND),Andorra ,AND,,,,,,,,,,,,,,,,,,,2,3,,,,,,
Angola (ANG),Angola ,ANG,,,,,,,,,,,,,,,,,,,3,,,,,,3,2
Antigua and Barbuda (ANT),Antigua and Barbuda ,ANT,,,,,,,,,,,,,,,,,1,1,5,1,1,,,,,1
Argentina (ARG),Argentina ,ARG,,,,6,5,,11,18,14,6,9,6,6,9,4,,8,11,7,10,11,11,10,8,13,11
Aruba (ARU),Aruba ,ARU,,,,,,,,,,,,,,,,,,,1,,,,,,3,
American Samoa (ASA),American Samoa ,ASA,,,,,,,,,,,,,,,,,,,,2,,,,,,2
Australia (AUS),Australia ,AUS,,,,,,1,,3,6,10,13,11,11,13,12,,13,13,13,16,18,18,17,13,11,11
Austria (AUT),Austria ,AUT,,,,,1,,1,5,3,1,7,3,3,12,9,5,10,8,13,6,5,7,11,8,8,8
Bahamas (BAH),Bahamas ,BAH,,,,,,,,,7,3,11,8,6,8,1,,3,2,2,3,,,,,,
Barbados (BAR),Barbados ,BAR,,,,,,,,,,,,,,,,,2,4,5,2,1,,1,,,
Belgium (BEL),Belgium ,BEL,3,,14,9,6,,3,12,4,1,3,1,3,4,3,,1,,5,3,4,4,3,3,4,4
Bermuda (BER),Bermuda ,BER,,,,,,,,,,3,9,4,4,7,6,,3,2,7,4,3,5,,2,2,
Burma (BIR),Burma ,BIR,,,,,,,,,,2,3,,,,,,,,,,,,,,,
Belarus (BLR),Belarus ,BLR,,,,,,,,,,,,,,,,,,,,6,4,1,4,2,2,2
Botswana (BOT),Botswana ,BOT,,,,,,,,,,,,,,,,,1,,,,,,,,,
Brazil (BRA),Brazil ,BRA,,,,,,,1,7,6,2,5,5,5,10,8,12,12,16,17,14,12,14,12,9,15,13
Bahrain (BRN),Bahrain ,BRN,,,,,,,,,,,,,,,,,,,,4,,1,,,,
Bulgaria (BUL),Bulgaria ,BUL,,,,,,,,,,,,,,,,5,,,,,1,2,1,2,,
British West Indies (BWI),British West Indies ,BWI,,,,,,,,,,,2,,,,,,,,,,,,,,,
Cambodia (CAM),Cambodia ,CAM,,,,,,,,,,,,3,,,,,,,,,,,,,,
Canada (CAN),Canada ,CAN,,,,1,,13,1,5,11,7,11,11,11,10,10,,13,15,17,16,9,11,14,11,9,9
Cayman Islands (CAY),Cayman Islands ,CAY,,,,,,,,,,,,,,,2,,2,,3,7,1,,,,1,
Ceylon (CEY),Ceylon ,CEY,,,,,,,,,,,,,1,,,,,,,,,,,,,
Chile (CHI),Chile ,CHI,,,,,,,1,,,,,,,,,,5,3,1,1,,1,1,3,9,
China (CHN),China ,CHN,,,,,,,,,,,,,,,,,4,5,3,5,4,4,18,9,8,13
Colombia (COL),Colombia ,COL,,,,,,,,,,,,,,,2,,,,,,,,1,2,1,
Cook Islands (COK),Cook Islands ,COK,,,,,,,,,,,,,,,,,,,,1,1,,,1,2,
Croatia (CRO),Croatia ,CRO,,,,,,,,,,,,,,,,,,,3,3,4,4,10,12,8,4
Cuba (CUB),Cuba ,CUB,,,,3,,,,2,3,2,2,,,,,3,,,,2,2,,,,,
Cyprus (CYP),Cyprus ,CYP,,,,1,,,,,,,,,,,,5,,2,2,3,2,3,4,2,2,4
Czech Republic (CZE),Czech Republic ,CZE,,,,,1,,,,,,,,,,,,,,,2,2,4,4,4,3,1
Denmark (DEN),Denmark ,DEN,,3,,4,5,,7,13,7,4,9,9,11,11,8,9,8,14,16,11,12,14,6,13,11,8
Djibouti (DJI),Djibouti ,DJI,,,,,,,,,,,,,,,,,,1,1,2,,,,,,
Dominican Republic (DOM),Dominican Republic ,DOM,,,,,,,,,,,,,,,,,1,,,,,,1,,,
Ecuador (ECU),Ecuador ,ECU,,,,,,,,,,,,,,,,,,,,1,,,,,,
Egypt (EGY),Egypt ,EGY,,,,,,,,,,,,,,,,,1,,,,,,,1,1,2
El Salvador (ESA),El Salvador ,ESA,,,,,,,,,,,,,3,,,,,,,,,,,,1,1
Spain (ESP),Spain ,ESP,,,,4,6,1,,4,1,,11,1,8,7,8,7,8,16,17,16,17,18,16,14,14,15
Estonia (EST),Estonia ,EST,,,,,5,,1,,,,,,,,,,,,4,4,4,1,2,5,5,2
Fiji (FIJ),Fiji ,FIJ,,,,,,,,,,1,,,,,,,4,5,4,6,1,,,,,1
Finland (FIN),Finland ,FIN,,27,,1,1,,12,14,14,3,9,5,3,7,8,7,5,5,8,8,10,4,9,11,8,5
France (FRA),France ,FRA,3,3,3,9,13,3,14,17,9,7,11,3,9,11,10,,11,13,17,13,12,18,18,16,15,14
Great Britain (GBR),Great Britain ,GBR,41,,6,6,8,3,14,13,14,11,11,9,11,13,12,,13,15,17,16,16,18,18,16,15,15
Georgia (GEO),Georgia ,GEO,,,,,,,,,,,,,,,,,,,,2,,,,,,
Germany (GER),Germany ,GER,,,,,6,1,14,,14,8,11,11,19,24,18,12,13,24,15,15,17,17,12,12,12,10
Greece (GRE),Greece ,GRE,,,,,,,,4,3,1,8,4,6,6,6,4,7,8,9,14,11,18,12,11,7,8
Guatemala (GUA),Guatemala ,GUA,,,,,,,,,,,,,,,2,1,1,,,1,,,1,2,1,2
Guam (GUM),Guam ,GUM,,,,,,,,,,,,,,,,,,2,2,3,1,,,,,
Hong Kong (HKG),Hong Kong ,HKG,,,,,,,,,,,,4,5,4,,,1,4,4,7,2,2,2,2,2,3
Hungary (HUN),Hungary ,HUN,,,,,6,,1,,,,5,1,4,5,1,7,,3,8,12,6,7,3,3,5,4
India (IND),India ,IND,,,,,,,,,,,2,,,3,,,2,2,2,,,2,1,,,4
Indonesia (INA),Indonesia ,INA,,,,,,,,,,,3,,3,,,,,2,,1,1,1,1,,,
Ireland (IRL),Ireland ,IRL,,,,,,,,5,1,1,6,4,,8,6,2,1,5,5,10,4,9,6,8,6,3
Iceland (ISL),Iceland ,ISL,,,,,,,,,,,,,,,,,2,2,,,1,1,,,,
Israel (ISR),Israel ,ISR,,,,,,,,,,,,,,2,2,,5,4,5,5,6,6,7,7,6,5
Virgin Islands (ISV),Virgin Islands ,ISV,,,,,,,,,,,,,3,8,6,,9,6,7,2,2,1,1,2,1,
Italy (ITA),Italy ,ITA,,,,8,12,1,14,15,14,11,11,10,8,10,12,6,11,15,13,16,18,18,18,11,13,9
British Virgin Islands (IVB),British Virgin Islands ,IVB,,,,,,,,,,,,,,,,,5,1,3,1,,,,,,
Jamaica (JAM),Jamaica ,JAM,,,,,,,,,,,,3,5,3,,,,,2,2,2,,,,,
Japan (JPN),Japan ,JPN,,,,,,,3,,1,,6,11,,3,5,,8,13,7,10,10,10,9,9,11,15
Kenya (KEN),Kenya ,KEN,,,,,,,,,,,3,1,,,,,,,,,,,,,,
Kyrgyzstan (KGZ),Kyrgyzstan ,KGZ,,,,,,,,,,,,,,,,,,,,,,,,1,,
South Korea (KOR),South Korea ,KOR,,,,,,,,,,,,,,,,,1,10,3,5,5,4,4,4,4,4
Latvia (LAT),Latvia ,LAT,,,,,1,,,,,,,,,,,,,,2,2,2,1,,,1,
Saint Lucia (LCA),Saint Lucia ,LCA,,,,,,,,,,,,,,,,,,,,1,,,,1,1,2
Lebanon (LIB),Lebanon ,LIB,,,,,,,,,,,3,,,,,,,,,,,,,,,
Lithuania (LTU),Lithuania ,LTU,,,,,,,,,,,,,,,,,,,2,,1,1,1,3,2,2
