Position,Name,Country,Crew,Events,Best,Points,Year,Date,Event
3,Malte Winkel,GER,Anastasiya Winkel,8,2,839,05 Sep 2023,2023-09-05,470
2,Simon Diesch,GER,Anna Markfort,7,1,841,05 Sep 2023,2023-09-05,470
1,Jordi Xammar Hernandez,ESP,Nora Brugman Cabot,7,1,877,05 Sep 2023,2023-09-05,470
3,Malte Winkel,GER,Anastasiya Winkel,7,2,839,17 Oct 2023,2023-10-17,470
2,Simon Diesch,GER,Anna Markfort,6,1,841,17 Oct 2023,2023-10-17,470
1,Jordi Xammar Hernandez,ESP,Nora Brugman Cabot,6,1,867,17 Oct 2023,2023-10-17,470
3,Malte Winkel,GER,Anastasiya Winkel,7,2,839,07 Nov 2023,2023-11-07,470
2,Simon Diesch,GER,Anna Markfort,6,1,841,07 Nov 2023,2023-11-07,470
1,Jordi Xammar Hernandez,ESP,Nora Brugman Cabot,6,1,867,07 Nov 2023,2023-11-07,470
3,Simon Diesch,GER,Anna Markfort,6,1,841,12 Dec 2023,2023-12-12,470
2,Keiju Okada,JPN,Miho Yoshioka,7,2,851,12 Dec 2023,2023-12-12,470
1,Jordi Xammar Hernandez,ESP,Nora Brugman Cabot,6,1,867,12 Dec 2023,2023-12-12,470
3,Simon Diesch,GER,Anna Markfort,6,1,841,06 Feb 2024,2024-02-06,470
2,Keiju Okada,JPN,Miho Yoshioka,7,2,851,06 Feb 2024,2024-02-06,470
1,Jordi Xammar Hernandez,ESP,Nora Brugman Cabot,6,1,867,06 Feb 2024,2024-02-06,470
3,Simon Diesch,GER,Anna Markfort,6,1,845,12 Mar 2024,2024-03-12,470
2,Keiju Okada,JPN,Miho Yoshioka,7,2,864,12 Mar 2024,2024-03-12,470
1,Jordi Xammar Hernandez,ESP,Nora Brugman Cabot,6,1,871,12 Mar 2024,2024-03-12,470
3,Keiju Okada,JPN,Miho Yoshioka,6,2,840,09 Apr 2024,2024-04-09,470
2,Simon Diesch,GER,Anna Markfort,6,1,850,09 Apr 2024,2024-04-09,470
1,Jordi Xammar Hernandez,ESP,Nora Brugman Cabot,6,1,874,09 Apr 2024,2024-04-09,470
3,Camille Lecointre,FRA,Jeremie Mion,6,3,818,21 May 2024,2024-05-21,470
2,Keiju Okada,JPN,Miho Yoshioka,6,2,837,21 May 2024,2024-05-21,470
1,Jordi Xammar Hernandez,ESP,Nora Brugman Cabot,6,1,869,21 May 2024,2024-05-21,470
Position,Name,Country,Crew,Events,Best,Points,Year,Date,Event
1,Bart Lambriex,NED,Floris Van De Werken,7,1,886,21 May 2024,2024-05-21,49erMen
2,Benjamin Bildstein,AUT,David Hussl,9,1,857,21 May 2024,2024-05-21,49erMen
3,Diego Botin Le Chever,ESP,Florian Trittel Paul,6,2,854,21 May 2024,2024-05-21,49erMen
1,Bart Lambriex,NED,Floris Van De Werken,7,1,887,09 Apr 2024,2024-04-09,49erMen
2,Benjamin Bildstein,AUT,David Hussl,9,1,857,09 Apr 2024,2024-04-09,49erMen
3,Diego Botin Le Chever,ESP,Florian Trittel Paul,6,2,854,09 Apr 2024,2024-04-09,49erMen
1,Bart Lambriex,NED,Floris Van De Werken,8,1,981,12 Mar 2024,2024-03-12,49erMen
2,Jim Colley,AUS,Shaun Connor,8,2,839,12 Mar 2024,2024-03-12,49erMen
3,Diego Botin Le Chever,ESP,Florian Trittel Paul,6,2,837,12 Mar 2024,2024-03-12,49erMen
1,Bart Lambriex,NED,Floris Van De Werken,8,1,984,06 Feb 2024,2024-02-06,49erMen
2,Isaac Kale Mchardie,NZL,William Mckenzie,6,2,853,06 Feb 2024,2024-02-06,49erMen
3,Benjamin Bildstein,AUT,David Hussl,9,1,848,06 Feb 2024,2024-02-06,49erMen
1,Bart Lambriex,NED,Floris Van De Werken,8,1,984,12 Dec 2023,2023-12-12,49erMen
2,Isaac Kale Mchardie,NZL,William Mckenzie,6,2,853,12 Dec 2023,2023-12-12,49erMen
3,Benjamin Bildstein,AUT,David Hussl,9,1,848,12 Dec 2023,2023-12-12,49erMen
1,Bart Lambriex,NED,Floris Van De Werken,7,1,984,07 Nov 2023,2023-11-07,49erMen
2,Tom Burton,AUS,Simon Hoffman Max Paul,7,2,836,07 Nov 2023,2023-11-07,49erMen
3,Benjamin Bildstein,AUT,David Hussl,8,1,817,07 Nov 2023,2023-11-07,49erMen
1,Bart Lambriex,NED,Floris Van De Werken,7,1,984,17 Oct 2023,2023-10-17,49erMen
2,Tom Burton,AUS,Max Paul Simon Hoffman,7,2,836,17 Oct 2023,2023-10-17,49erMen
3,Benjamin Bildstein,AUT,David Hussl,8,1,817,17 Oct 2023,2023-10-17,49erMen
1,Bart Lambriex,NED,Floris Van De Werken,7,1,984,05 Sep 2023,2023-09-05,49erMen
2,Tom Burton,AUS,Simon Hoffman Max Paul,7,2,836,05 Sep 2023,2023-09-05,49erMen
3,Benjamin Bildstein,AUT,David Hussl,8,1,817,05 Sep 2023,2023-09-05,49erMen
Position,Name,Country,Crew,Events,Best,Points,Year,Date,Event
1,Jana Germani,ITA,Giorgia Bertuzzi,6,1,806,21 May 2024,2024-05-21,49erWomen
2,Vilma Bobeck,SWE,Rebecca Netzler,6,2,767,21 May 2024,2024-05-21,49erWomen
3,Stephanie Roble,USA,Maggie Shea,7,2,763,21 May 2024,2024-05-21,49erWomen
1,Jana Germani,ITA,Giorgia Bertuzzi,7,1,839,09 Apr 2024,2024-04-09,49erWomen
2,Stephanie Roble,USA,Maggie Shea,8,2,768,09 Apr 2024,2024-04-09,49erWomen
3,Isaura Maenhaut,BEL,Anouk Geurts,6,2,762,09 Apr 2024,2024-04-09,49erWomen
1,Odile Van Aanholt,NED,Annette Duetz,6,1,881,12 Mar 2024,2024-03-12,49erWomen
2,Martine Grael,BRA,Kahena Kunze,7,1,841,12 Mar 2024,2024-03-12,49erWomen
3,Vilma Bobeck,SWE,Ebba Berntsson,Rebecca Netzler,6,2,807,12 Mar 2024,2024-03-12,49erWomen
1,Odile Van Aanholt,NED,Annette Duetz,6,1,881,06 Feb 2024,2024-02-06,49erWomen
2,Martine Grael,BRA,Kahena Kunze,7,1,819,06 Feb 2024,2024-02-06,49erWomen
3,Stephanie Roble,USA,Maggie Shea,8,2,809,06 Feb 2024,2024-02-06,49erWomen
1,Odile Van Aanholt,NED,Annette Duetz,6,1,881,12 Dec 2023,2023-12-12,49erWomen
2,Martine Grael,BRA,Kahena Kunze,7,1,819,12 Dec 2023,2023-12-12,49erWomen
3,Vilma Bobeck,SWE,Ebba Berntsson,Rebecca Netzler,6,2,805,12 Dec 2023,2023-12-12,49erWomen
1,Martine Grael,BRA,Kahena Kunze,6,1,819,07 Nov 2023,2023-11-07,49erWomen
2,Odile Van Aanholt,NED,Annette Duetz,5,1,792,07 Nov 2023,2023-11-07,49erWomen
3,Stephanie Roble,USA,Maggie Shea,6,2,774,07 Nov 2023,2023-11-07,49erWomen
1,Odile Van Aanholt,NED,Annette Duetz,5,1,792,17 Oct 2023,2023-10-17,49erWomen
2,Isaura Maenhaut,BEL,Anouk Geurts,6,2,737,17 Oct 2023,2023-10-17,49erWomen
3,Vilma Bobeck,SWE,Ebba Berntsson,Rebecca Netzler,5,2,729,17 Oct 2023,2023-10-17,49erWomen
1,Odile Van Aanholt,NED,Annette Duetz,5,1,792,05 Sep 2023,2023-09-05,49erWomen
2,Isaura Maenhaut,BEL,Anouk Geurts,6,2,737,05 Sep 2023,2023-09-05,49erWomen
3,Vilma Bobeck,SWE,Rebecca Netzler,Ebba Berntsson,5,2,729,05 Sep 2023,2023-09-05,49erWomen
